PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=56 time=77.1 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=56 time=76.6 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=56 time=76.1 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=56 time=76.0 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=56 time=76.3 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=56 time=77.1 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=56 time=76.4 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=56 time=76.7 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=56 time=76.1 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=56 time=76.0 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=56 time=76.3 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=56 time=76.2 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=56 time=76.4 ms
64 bytes from 8.8.8.8: icmp_seq=14 ttl=56 time=76.1 ms
64 bytes from 8.8.8.8: icmp_seq=15 ttl=56 time=76.9 ms
64 bytes from 8.8.8.8: icmp_seq=16 ttl=56 time=76.2 ms
64 bytes from 8.8.8.8: icmp_seq=17 ttl=56 time=76.0 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=56 time=76.5 ms
64 bytes from 8.8.8.8: icmp_seq=19 ttl=56 time=76.8 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=56 time=76.3 ms
64 bytes from 8.8.8.8: icmp_seq=21 ttl=56 time=76.0 ms
64 bytes from 8.8.8.8: icmp_seq=22 ttl=56 time=76.9 ms
64 bytes from 8.8.8.8: icmp_seq=23 ttl=56 time=76.2 ms
64 bytes from 8.8.8.8: icmp_seq=24 ttl=56 time=76.4 ms
64 bytes from 8.8.8.8: icmp_seq=25 ttl=56 time=76.0 ms
64 bytes from 8.8.8.8: icmp_seq=26 ttl=56 time=76.4 ms
64 bytes from 8.8.8.8: icmp_seq=27 ttl=56 time=76.2 ms
